excited_states:spectrum:nm:x / nm,excited_states:spectrum:nm:y / arb. unit
619.9209921660013,1.4947912807573976e-14
616.8368081253744,1.4831130619117766e-14
613.7831605603974,1.466362393839943e-14
610.7595981931047,1.4447141671175686e-14
607.7656785941189,1.4183921565593638e-14
604.8009679668306,1.3876651731572821e-14
601.8650409378653,1.3528424985648526e-14
598.9574803536245,1.3142687104506436e-14
596.0778770826935,1.2723180196007586e-14
593.2258298239249,1.2273882485867195e-14
590.4009449200013,1.1798945869399396e-14
587.6028361763047,1.1302632590326173e-14
584.831124684907,1.0789252383366902e-14
582.0854386535224,1.0263101356250218e-14
579.3654132392536,9.728403793141609e-15
576.670690386978,9.189257939475743e-15
574.0009186722234,8.64958668281656e-15
571.3557531483883,8.113093881215458e-15
568.7348551981663,7.583226915490722e-15
566.1378923890423,7.063145860909972e-15
563.5645383327284,6.5556994927735084e-15
561.0144725484175,6.063408164890902e-15
558.4873803297309,5.588453434893709e-15
555.9829526152479,5.132674160045235e-15
553.5008858625011,4.697568655198501e-15
551.0408819253346,4.284302393465592e-15
548.6026479345144,3.893720641732032e-15
546.185896181499,3.526365358231122e-15
543.7903440052643,3.182495637971723e-15
541.4157136820972,2.8621109731017696e-15
539.061732318262,2.564976597806523e-15
536.7281317454557,2.2906502090400993e-15
534.4146484189666,2.038509392775714e-15
532.1210233184561,1.807779137736684e-15
529.8470018512832,1.5975588817555045e-15
527.592333758299,1.406848606975774e-15
525.356773022035,1.2345735760971894e-15
523.1400777772163,1.079607379967154e-15
520.9420102235306,9.407930444946235e-16
518.7623365405868,8.169620198600061e-16
516.6008268050011,7.069509454366203e-16
514.4572549095446,6.096161482171536e-16
512.3313984842986,5.238458897363066e-16
510.22303881975415,4.485704257559861e-16
508.1319607918043,3.827699839477696e-16
506.0579527885725,3.2548079740336914e-16
504.0008066390255,2.757993562442829e-16
501.96031754332085,2.328850563347522e-16
499.9362840048398,1.9596143376161661e-16
497.92850776385643,1.6431617709812235e-16
495.93679373280105,1.3730010737282903e-16
493.96094993306866,1.1432530901928096e-16
492.0007874333343,9.486258479355761e-17
490.05612028932904,7.843839459382298e-17
488.12676548504044,6.46314231242575e-17
486.2125428752951,5.306890516655861e-17
484.3132751296885,4.3422820519409275e-17
482.4287876778221,3.54060540071053e-17
480.55890865581495,2.876859981085951e-17
478.70346885405513,2.3293874109370258e-17
476.86230166615485,1.879518590457394e-17
475.03524303908154,1.511240314302674e-17
473.2221314244285,1.2108839934768704e-17
471.4228077307995,9.66838086485311e-18
469.6371152772737,7.692850077214773e-18
467.8648997479255,6.099625930889087e-18
466.1060091473694,4.819496495312812e-18
464.36029375730436,3.794746850867481e-18
462.62760609403085,2.9774659637218e-18
460.9078008669155,2.3280586732566287e-18
459.2007349377787,1.813946927133312e-18
457.5062672811818,1.4084436881194816e-18
455.8242589455891,1.0897827901872484e-18
454.15457301538555,8.402883214066317e-19
452.4970745737236,6.456677520143729e-19
450.8516306661828,4.944139149915423e-19
449.2181102652183,3.77302004071388e-19
447.59638423538,2.869689139337181e-19
445.98632529928153,2.175634554510459e-19
444.38780800430203,1.644571927583773e-19
442.8007086900009,1.2400683652618807e-19
441.2249054562287,9.336026622031318e-20
439.66027813191585,7.029932841008907e-20
438.1067082445239,5.3113560240354525e-20
436.56407899014175,4.0499914671808866e-20
435.0322752042115,3.1484419484101037e-20
433.5111833328681,2.5362491790024634e-20
432.0006914048789,2.165536372365605e-20
430.50068900416755,2.008076565130026e-20
429.01106724290753,2.05366757568815e-20
427.53171873517334,2.3097596397031576e-20
426.0625375711349,2.8023477459087304e-20
424.6034192917818,3.5782096305055917e-20
423.1542608641647,4.7086445919012554e-20
421.71496065714376,6.294950273915019e-20
420.28541841762797,8.475967047360627e-20
418.8655352472982,1.1438125503505103e-19
417.45521357979885,1.5428554945276676e-19
416.05435715839013,2.0771952863403154e-19
414.6628710140477,2.789208056151641e-19
413.28066144400094,3.733894172785626e-19
411.9076359906985,4.982292215478741e-19
410.5437034211929,6.625742308638268e-19
409.18877370693156,8.7811810544458e-19
407.8427580039483,1.1597683053973336e-18
406.50556863344343,1.526450065095048e-18
405.17711906274593,2.002089405873875e-18
403.8573238866458,2.616808827214267e-18
402.54609880909175,3.4083740744959366e-18
401.2433606252436,4.423935409773367e-18
399.9490272038718,5.7221120163496284e-18
398.6630174700973,7.375473417223978e-18
397.38525138846234,9.473476908686743e-18
396.1156499463267,1.2125924783143306e-17
394.8541351375805,1.5467009267659497e-17
393.60062994666754,1.9660016309583205e-17
392.35505833291217,2.490276121389087e-17
391.1173452151428,3.1433829238045304e-17
389.8874164566046,3.9539692085236846e-17
388.6651988501576,4.9562766265108085e-17
387.4506201037508,6.191047093541751e-17
386.243608826169,7.706533050020178e-17
385.0440945130443,9.559615032043183e-17
383.85200753312773,1.1817027181647735e-16
382.6672791148156,1.4556688548756296e-16
381.48984133292396,1.7869134651197899e-16
380.3196270957063,2.1859039732505313e-16
379.1565701321109,2.6646815477707925e-16
378.00060497926916,3.2370266625116315e-16
376.8516669702136,3.9186277984151243e-16
375.70969222181895,4.727250090437752e-16
374.5746176229615,5.682900034358638e-16
373.44638082289237,6.807981649703251e-16
372.3249202198206,8.127438766144484e-16
371.2101749497014,9.668877384490127e-16
370.10208487522465,1.1462661386780426e-15
369.00059057500073,1.3541974264138879e-15
367.90563333293846,1.5942839030305364e-15
366.8171551278115,1.870408813036965e-15
365.7350986230096,2.186727497690817e-15
364.6594071564714,2.547651878860621e-15
363.59002473079255,2.9578274707445295e-15
362.52689600350953,3.422102176451266e-15
361.4699662775518,3.945486218140869e-15
360.41918149186125,4.5331026756920635e-15
359.37448821217464,5.190128271086002e-15
358.33583362196606,5.921724234117709e-15
357.3031655135454,6.732957318613919e-15
356.2764322793111,7.628711304517238e-15
355.2555829031526,8.61358961588721e-15
354.24056695200073,9.691810002302134e-15
353.2313345675221,1.0867092563919539e-14
352.22783645795533,1.2142542739573192e-14
351.2300238900857,1.352053121234921e-14
350.23784868135664,1.500257300648241e-14
349.25126319211336,1.6589208340687195e-14
348.27022031797827,1.8279888053225092e-14
347.29467348235363,2.0072866610171583e-14
346.3245766290511,2.1965105838012513e-14
345.3598842150426,2.395219257350977e-14
344.40055120333403,2.6028273387957435e-14
343.4465330559564,2.818600941196368e-14
342.49778572707254,3.041655405588413e-14
341.5542656561991,3.2709556088318883e-14
340.6159297615392,3.505319010252223e-14
339.68273543342536,3.7434215873743774e-14
338.7546405278696,3.9838067498902645e-14
337.8316033602187,4.2248972526818805e-14
336.91358269891373,4.465010054932184e-14
336.0005377593504,4.702373995087196e-14
335.09242819783856,4.9351500729448585e-14
334.18921410566105,5.161454052880096e-14
333.29085600322645,5.3793810287216764e-14
332.3973148343171,5.587031523629471e-14
331.5085519604285,5.782538639951724e-14
330.62452915520066,5.964095726746165e-14
329.74520859893687,6.129983998419278e-14
328.8705528732103,6.278599518384908e-14
328.0005249555562,6.408478957925875e-14
327.1350882142487,6.51832355319923e-14
326.2742064031586,6.607020712640093e-14
325.4178436566936,6.673662772393183e-14
324.5659644848174,6.717562457765731e-14
323.71853376814687,6.738264682433318e-14
322.87551675312574,6.735554402132182e-14
322.03687904727343,6.709460333306472e-14
321.2025866145085,6.66025444678806e-14
320.3726057705434,6.588447248987999e-14
319.5469031783512,6.494778965085488e-14
318.72544584370246,6.38020683713982e-14
317.9082011107699,6.245888841887356e-14
317.0951366578012,6.093164215431845e-14
316.28622049285786,5.923531242660088e-14
315.481420949619,5.738622826022266e-14
314.6807066832494,5.5401803898246744e-14
313.8840466663298,5.330026701461104e-14
313.09141018484917,5.110038199707844e-14
312.30276683425757,4.882117412546473e-14
311.51808651557855,4.648166023733899e-14
310.73733943157964,4.410059109783083e-14
309.96049608300063,4.1696210188658625e-14
309.1875272648386,3.928603302467107e-14
308.4184040626872,3.6886650417414854e-14
307.65309784913217,3.4513558359456796e-14
306.8915802801987,3.218101642601703e-14
306.1338232918525,2.99019358071968e-14
305.37979909655235,2.768779731870143e-14
304.6294801798532,2.5548599013452195e-14
303.88283929705943,2.349283235003268e-14
303.1398494699273,2.1527485282494257e-14
302.4004839834153,1.9658070131936398e-14
301.66471638248237,1.7888673692004853e-14
300.93252046893264,1.622202671265617e-14
300.2038702983057,1.4659589700175246e-14
299.47874017681227,1.3201651864027473e-14
298.75710465831384,1.1847440027120167e-14
298.03893854134674,1.0595234387332814e-14
297.3242168661877,9.442488164558518e-15
296.61291491196243,8.385948377324332e-15
295.9050081937953,7.4217752537165e-15
295.20047246000064,6.545658079873865e-15
294.4992836893118,5.75292561287375e-15
293.80141808815233,5.038649521167684e-15
293.10685208794393,4.3977396535058466e-15
292.4155623424535,3.825030266469994e-15
291.7275257251771,3.3153566527102785e-15
291.0427193267612,2.863621899759834e-15
290.36112045245966,2.464853767526774e-15
289.6827066196268,2.1142518975290207e-15
289.0074555552454,1.807225756479328e-15
288.335345193489,1.539423870220528e-15
287.66635367331844,1.3067550217813705e-15
287.0004593361117,1.105402171077493e-15
286.3376407233262,9.318299059807839e-16
285.67787657419416,7.827862582438873e-16
285.0211458234489,6.552997166562232e-16
284.36742759908316,5.466722476467543e-16
283.7167012201379,4.544690942374968e-16
283.0689461945212,3.7650607162874237e-16
282.4241422168571,3.1083501540713126e-16
281.7822691663642,2.557279697727498e-16
281.14330710476247,2.0966063128425806e-16
280.50723627420876,1.712954910245046e-16
279.87403709526023,1.3946504697260877e-16
279.2436901648654,1.1315539048487108e-16
278.6161762543826,9.149040747840319e-17
277.99147630762394,7.371677713466462e-17
