excited_states:spectrum:ev:x / eV,excited_states:spectrum:ev:y / oscillator_strength
2.15,0.015383652718221225
2.16,0.01434642849097459
2.17,0.013332849555476277
2.18,0.012348011048646862
2.19,0.011396352926327104
2.2,0.010481649207397747
2.21,0.009607009092621493
2.22,0.00877488902227091
2.23,0.007987114556377394
2.24,0.007244910825181304
2.25,0.006548940205553175
2.2600000000000002,0.005899345830736572
2.27,0.005295799533361448
2.2800000000000002,0.00473755285176512
2.29,0.004223489792821903
2.3000000000000003,0.0037521801356309734
2.31,0.003321932174056529
2.32,0.0029308439265783425
2.33,0.002576851983578277
2.34,0.0022577773096757003
2.35,0.00197136746706639
2.36,0.001715334870586142
2.37,0.0014873908226175887
2.38,0.0012852752028921308
2.39,0.0011067818023274818
2.4,0.0009497793896256909
2.41,0.0008122286834527903
2.42,0.0006921954712786038
2.43,0.0005878601685734584
2.44,0.0004975241497143592
2.45,0.00041961320570203575
2.46,0.00035267849498181903
2.47,0.0002953953538434813
2.48,0.0002465603237154686
2.49,0.0002050867358738175
2.5,0.00016999917133893278
2.5100000000000002,0.00014042708663685426
2.52,0.00011559786613705341
2.5300000000000002,9.482953017277451e-05
2.54,7.752329625581583e-05
2.5500000000000003,6.31561593834935e-05
2.56,5.127362748383126e-05
2.57,4.148272005712277e-05
2.58,3.3445312480515546e-05
2.59,2.687188552593659e-05
2.6,2.1515719544609693e-05
2.61,1.7167555522880176e-05
2.62,1.3650730749293795e-05
2.63,1.0816785013416502e-05
2.64,8.541523889436495e-06
2.65,6.721518511647142e-06
2.66,5.27101607181891e-06
2.67,4.119231798658573e-06
2.68,3.207991157089044e-06
2.69,2.489690180214482e-06
2.7,1.9255419861938343e-06
2.71,1.4840784232747772e-06
2.72,1.139877239792138e-06
2.73,8.724870275473986e-07
2.74,6.655242969034682e-07
2.75,5.059192942846806e-07
2.7600000000000002,3.832894740478657e-07
2.77,2.894218137633497e-07
2.7800000000000002,2.1784735982982435e-07
2.79,1.634934698503815e-07
2.8000000000000003,1.224011535551569e-07
2.81,9.149669069266109e-08
2.82,6.840831675189588e-08
2.83,5.13202173843769e-08
2.84,3.885736734171684e-08
2.85,2.999590123592634e-08
2.86,2.399472617010098e-08
2.87,2.0344997178637902e-08
