excited_states:spectrum:ev:x / eV,excited_states:spectrum:ev:y / oscillator_strength
2.18,0.0011027489244197098
2.19,0.0010981590179489015
2.2,0.0010898046879725626
2.21,0.0010777721603188737
2.22,0.0010621848450850578
2.23,0.0010432012295953227
2.24,0.0010210121961426895
2.25,0.0009958378279845753
2.2600000000000002,0.0009679237782992187
2.27,0.0009375372858041992
2.2800000000000002,0.0009049629272567445
2.29,0.0008704982009552915
2.3000000000000003,0.0008344490365920323
2.31,0.0007971253254087588
2.32,0.000758836560712197
2.33,0.0007198876726199507
2.34,0.000680575132712644
2.35,0.0006411833943971449
2.36,0.0006019817236164601
2.37,0.0005632214624759661
2.38,0.0005251337558051366
2.39,0.0004879277580439179
2.4,0.00045178932551860303
2.41,0.00041688018750408627
2.42,0.00038333757876488517
2.43,0.0003512743067797747
2.44,0.0003207792187802998
2.45,0.00029191802720566644
2.46,0.00026473444726868664
2.47,0.0002392515970525329
2.48,0.00021547360887478058
2.49,0.0001933874004727848
2.5,0.00017296455575150602
2.5100000000000002,0.0001541632672267528
2.52,0.00013693029570564444
2.5300000000000002,0.00012120290696892768
2.54,0.00010691075004827074
2.5500000000000003,9.39776469192242e-05
2.56,8.232326886041801e-05
2.57,7.18646801799697e-05
2.58,6.251773531973236e-05
2.59,5.419832037886119e-05
2.6,4.682343473805223e-05
2.61,4.0312112628925754e-05
2.62,3.458618811982103e-05
2.63,2.9570910045247757e-05
2.64,2.519541587967733e-05
2.65,2.1393075455934944e-05
2.66,1.8101716779884878e-05
2.67,1.526374703608015e-05
2.68,1.2826182263645832e-05
2.69,1.0740599165248778e-05
2.7,8.96302215597523e-06
2.71,7.453758126120749e-06
2.72,6.177190544005696e-06
2.73,5.10154352070699e-06
2.74,4.198625352153173e-06
2.75,3.443559893807888e-06
2.7600000000000002,2.8145129511436098e-06
2.77,2.2924197204921653e-06
2.7800000000000002,1.8607182180025083e-06
2.79,1.505092611096251e-06
2.8000000000000003,1.2132294325449248e-06
2.81,9.745888220771353e-07
2.82,7.801922093179672e-07
2.83,6.224272257767802e-07
2.84,4.94870110038144e-07
2.85,3.921254441305112e-07
2.86,3.0968272314914734e-07
2.87,2.4378900617629226e-07
2.88,1.9133671519774938e-07
2.89,1.4976553059933448e-07
2.9,1.1697726758336934e-07
2.91,9.126259852515196e-08
2.92,7.123850357660044e-08
2.93,5.579537818694931e-08
2.94,4.4052794990574795e-08
2.95,3.532300295816036e-08
2.96,2.9081343964375734e-08
2.97,2.4942871985967707e-08
2.98,2.2644569775062335e-08
2.99,2.203266949708378e-08
3.0,2.3054695492300045e-08
3.0100000000000002,2.5755957474975054e-08
3.02,3.028032991177532e-08
3.0300000000000002,3.6875257013022414e-08
3.04,4.590102180284301e-08
3.0500000000000003,5.78444111542049e-08
3.06,7.333699539394629e-08
3.0700000000000003,9.317831978265081e-08
3.08,1.1836437422334015e-07
3.09,1.5012176494175706e-07
3.1,1.899480551737723e-07
3.11,2.396587682063347e-07
3.12,3.0144155211273166e-07
3.13,3.7791798744926515e-07
3.14,4.7221347293710904e-07
3.15,5.880355453910567e-07
3.16,7.297608744266767e-07
3.17,9.025310154149412e-07
3.18,1.1123568017151053e-06
3.19,1.3662310059505396e-06
3.2,1.6722485974566942e-06
3.21,2.039733567735398e-06
3.22,2.4793708881340965e-06
3.23,3.003341706372917e-06
3.24,3.625459385693743e-06
3.25,4.36130344975496e-06
3.2600000000000002,5.228347928433643e-06
3.27,6.246080018162899e-06
3.2800000000000002,7.436104392459651e-06
3.29,8.822227944388397e-06
3.3000000000000003,1.043051923659791e-05
3.31,1.2289336502865847e-05
3.3200000000000003,1.442931771676593e-05
3.33,1.6883326048688703e-05
3.34,1.9686344003225954e-05
3.35,2.2875309695539823e-05
3.36,2.648888911660061e-05
3.37,3.0567178878494916e-05
3.38,3.5151334842761356e-05
3.39,4.0283123230623656e-05
3.4,4.600439229937342e-05
3.41,5.235646443950045e-05
3.42,5.9379450586629574e-05
3.43,6.711149112284484e-05
3.44,7.558792992240334e-05
3.45,8.484043082296107e-05
3.46,9.4896048508058e-05
3.47,0.00010577626849087112
3.48,0.00011749603350384509
3.49,0.00013006277602670054
3.5,0.000143475478824201
3.5100000000000002,0.0001577237871113139
3.52,0.0001727871972155984
3.5300000000000002,0.00018863434727037286
3.54,0.00020522243546401386
3.5500000000000003,0.00022249679062322174
3.56,0.00024039061837356133
