excited_states:spectrum:ev:x / eV,excited_states:spectrum:ev:y / oscillator_strength
2.6,1.5596692215784005e-11
2.61,1.2480726722658154e-11
2.62,1.0088178589071614e-11
2.63,8.333143444162501e-12
2.64,7.1708548898020564e-12
2.65,6.603928858904476e-12
2.66,6.6937548962195045e-12
2.67,7.579158196402116e-12
2.68,9.505427453439284e-12
2.69,1.2868189506778233e-11
2.7,1.8278580388147447e-11
2.71,2.6658946334693826e-11
2.72,3.938222825419777e-11
2.73,5.847367861817064e-11
2.74,8.690123056165333e-11
2.75,1.2899149915591293e-10
2.7600000000000002,1.9102314376170982e-10
2.77,2.82069635086068e-10
2.7800000000000002,4.1519132513033213e-10
2.79,6.091147371263627e-10
2.8000000000000003,8.905886463648445e-10
2.81,1.2976763759437075e-09
2.82,1.884337753791838e-09
2.83,2.726780133029374e-09
2.84,3.932225806630263e-09
2.85,5.650965955813775e-09
2.86,8.092865451517598e-09
2.87,1.154986932386195e-08
2.88,1.6426566956356892e-08
2.89,2.3281527187799448e-08
2.9,3.2882967784913586e-08
2.91,4.628341722359674e-08
2.92,6.491942805819748e-08
2.93,9.074418574513477e-08
2.94,1.2640311697387507e-07
2.95,1.7546544809978858e-07
2.96,2.427282288374582e-07
2.97,3.3461377404509046e-07
2.98,4.5968696807081986e-07
2.99,6.293256304055389e-07
3.0,8.585853962259209e-07
3.0100000000000002,1.1673105886152903e-06
3.02,1.5815546478541376e-06
3.0300000000000002,2.135388161165266e-06
3.04,2.8731897501664553e-06
3.0500000000000003,3.85253538484528e-06
3.06,5.147825468743767e-06
3.0700000000000003,6.854816637142387e-06
3.08,9.096256956371171e-06
3.09,1.2028859382599362e-05
3.1,1.585188912347092e-05
3.11,2.0817686016339236e-05
3.12,2.7244493099692045e-05
3.13,3.55320169036611e-05
3.14,4.618020304674037e-05
3.15,5.9811771595152924e-05
3.16,7.719911902166482e-05
3.17,9.929625573598258e-05
3.18,0.0001272765077706321
3.19,0.00016257676543425623
3.2,0.00020694910709892917
3.21,0.0002625206586161445
3.22,0.00033186256333014635
3.23,0.00041806892879100413
3.24,0.0005248465779719882
3.25,0.0006566163584630242
3.2600000000000002,0.0008186266457758899
3.27,0.0010170795094212818
3.2800000000000002,0.0012592697857635848
3.29,0.0015537370132029332
3.3000000000000003,0.0019104298271613001
3.31,0.002340881980093253
3.3200000000000003,0.0028583986424908885
3.33,0.0034782510540764086
3.34,0.004217876932400917
3.35,0.005097083314619049
3.36,0.006138247716960345
3.37,0.007366512659447467
3.38,0.008809967739580038
3.39,0.010499812571899829
3.4,0.012470493069524446
3.41,0.014759802762767383
3.42,0.017408940167199793
3.43,0.020462512671129727
3.44,0.023968477055384938
3.45,0.027978006632886857
3.46,0.03254527514793656
3.47,0.03772714804945783
3.48,0.04358277258831632
3.49,0.05017305941927902
3.5,0.05756005003693752
3.5100000000000002,0.06580616645414729
3.52,0.07497334203922337
3.5300000000000002,0.08512203534622048
3.54,0.09631013206499865
3.5500000000000003,0.10859174382937573
3.56,0.12201591647760736
3.5700000000000003,0.13662526436567132
3.58,0.1524545513778445
3.59,0.16952924323249452
3.6,0.18786405940219614
3.61,0.20746155630587465
3.62,0.2283107762321183
3.63,0.25038599856428256
3.64,0.27364563115489116
3.65,0.2980312800088183
3.66,0.3234670346733601
3.67,0.3498590048175246
3.68,0.3770951403660364
3.69,0.40504536322739
3.7,0.4335620331548351
3.71,0.4624807636840374
3.72,0.49162159652721865
